Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Year,Month
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,hotel & accommodation uk,"people, strategy and higher education - human resources","personal expense, name withheld",154889,65.0,PSHE Devolved Admin-Hotel & Accommodation UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",154891,5.0,RD: Priorities-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,mileage allowance uk,legal services - legal services,"personal expense, name withheld",154892,193.5,Legal Services Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,legal services - legal services,"personal expense, name withheld",154892,6.64,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,legal services - legal services,"personal expense, name withheld",154892,26.0,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,legal services - legal services,"personal expense, name withheld",154892,5.0,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,hospitality - uk,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",154893,160.0,BLG Devolved Admin-Hospitality - UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,mileage allowance uk,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",154893,45.75,BLG Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",154893,18.38,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",154893,46.5,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,rail travel uk,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",154893,23.5,BLG Devolved Admin-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",154893,5.0,BLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",154893,6.58,BLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",154893,25.83,BLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,mileage allowance uk,business and science - advanced manufacturing,"personal expense, name withheld",154894,73.8,BLG Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,business and science - advanced manufacturing,"personal expense, name withheld",154894,3.34,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,business and science - advanced manufacturing,"personal expense, name withheld",154894,2.95,BLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,mileage allowance uk,legal services - legal services,"personal expense, name withheld",154895,7.65,Legal Services Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,legal services - legal services,"personal expense, name withheld",154895,22.55,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,legal services - legal services,"personal expense, name withheld",154895,53.6,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,mileage allowance uk,legal services - legal services,"personal expense, name withheld",154896,199.35,Legal Services Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,legal services - legal services,"personal expense, name withheld",154896,15.0,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,legal services - legal services,"personal expense, name withheld",154896,28.5,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,legal services - legal services,"personal expense, name withheld",154896,5.0,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,legal services - legal services,"personal expense, name withheld",154896,10.0,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,legal services - legal services,"personal expense, name withheld",154896,25.28,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,mileage allowance uk,legal services - legal services,"personal expense, name withheld",154897,56.7,Legal Services Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,legal services - legal services,"personal expense, name withheld",154897,10.45,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,legal services - legal services,"personal expense, name withheld",154897,20.0,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,legal services - legal services,"personal expense, name withheld",154897,28.54,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,"skills, deregulation and local growth - vocational education directorate","personal expense, name withheld",154898,5.4,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,"skills, deregulation and local growth - vocational education directorate","personal expense, name withheld",154898,10.0,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,"skills, deregulation and local growth - vocational education directorate","personal expense, name withheld",154898,15.0,BLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,"people, strategy and higher education - ministerial and parliamentary support team","personal expense, name withheld",154899,7.19,Default-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,mileage allowance uk,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",154900,103.95,BLG Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,business and science - advanced manufacturing,"personal expense, name withheld",154901,9.8,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,business and science - advanced manufacturing,"personal expense, name withheld",154901,21.0,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,rail travel uk,business and science - advanced manufacturing,"personal expense, name withheld",154901,2.8,BLG Devolved Admin-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,business and science - advanced manufacturing,"personal expense, name withheld",154901,3.85,BLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,business and science - advanced manufacturing,"personal expense, name withheld",154901,11.95,BLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,taxi services uk,business and science - advanced manufacturing,"personal expense, name withheld",154901,20.5,BLG Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-06,rail travel overseas,business and science - advanced manufacturing,"personal expense, name withheld",154902,2.97,B&S Devolved Admin-Rail Travel Overseas,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-06,subsistence overseas,business and science - advanced manufacturing,"personal expense, name withheld",154902,4.11,B&S Devolved Admin-Subsistence Overseas,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-06,subsistence overseas,business and science - advanced manufacturing,"personal expense, name withheld",154902,13.38,B&S Devolved Admin-Subsistence Overseas,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-06,other travel,business and science - advanced manufacturing,"personal expense, name withheld",154903,11.6,B&S Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-06,other travel,business and science - advanced manufacturing,"personal expense, name withheld",154903,11.95,B&S Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-06,other travel,business and science - advanced manufacturing,"personal expense, name withheld",154904,9.9,B&S Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-06,taxi services uk,business and science - advanced manufacturing,"personal expense, name withheld",154904,57.0,B&S Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,mileage allowance uk,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",154905,146.7,BLG Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",154905,6.2,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",154906,12.14,SDLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",154906,34.0,SDLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,rail travel uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",154906,106.0,SDLG Devolved Admin-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",154906,3.0,SDLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",154906,6.95,SDLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",154906,11.28,SDLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,taxi services uk,business and science - advanced manufacturing,"personal expense, name withheld",154907,13.0,B&S Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,taxi services uk,business and science - advanced manufacturing,"personal expense, name withheld",154908,45.0,B&S Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,business and science - advanced manufacturing,"personal expense, name withheld",154909,19.35,B&S Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,taxi services uk,business and science - advanced manufacturing,"personal expense, name withheld",154909,35.0,B&S Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,mileage allowance uk,legal services - legal services,"personal expense, name withheld",154910,161.1,Legal Services Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,legal services - legal services,"personal expense, name withheld",154910,2.5,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,legal services - legal services,"personal expense, name withheld",154910,5.0,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,legal services - legal services,"personal expense, name withheld",154910,5.0,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,postage,legal services - legal services,"personal expense, name withheld",154910,1.74,Legal Services Admin-Postage,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,mileage allowance uk,legal services - legal services,"personal expense, name withheld",154912,103.95,Legal Services Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,legal services - legal services,"personal expense, name withheld",154912,2.0,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,taxi services uk,business and science - small business,"personal expense, name withheld",154914,20.0,SDLG Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,mileage allowance uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",154915,36.0,BLG Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",154915,14.39,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,rail travel uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",154915,22.2,BLG Devolved Admin-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",154915,21.38,BLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,legal services - legal services,"personal expense, name withheld",154916,8.5,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,economics & markets - international trade & export control,"personal expense, name withheld",154917,4.7,ECO - Non Proliferation Awareness Seminars-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,economics & markets - international trade & export control,"personal expense, name withheld",154917,10.0,ECO - Non Proliferation Awareness Seminars-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,economics & markets - international trade & export control,"personal expense, name withheld",154917,25.15,ECO - Non Proliferation Awareness Seminars-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,economics & markets - international trade & export control,"personal expense, name withheld",154918,5.0,ECO - Non Proliferation Awareness Seminars-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,economics & markets - international trade & export control,"personal expense, name withheld",154918,16.84,ECO - Non Proliferation Awareness Seminars-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,taxi services uk,economics & markets - international trade & export control,"personal expense, name withheld",154918,43.0,ECO - Non Proliferation Awareness Seminars-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,hospitality - overseas,economics & markets - international trade & export control,"personal expense, name withheld",154919,5.14,E&M Devolved Admin-Hospitality - Overseas,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence overseas,economics & markets - international trade & export control,"personal expense, name withheld",154919,4.27,E&M Devolved Admin-Subsistence Overseas,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,taxi services overseas,economics & markets - international trade & export control,"personal expense, name withheld",154919,7.9,E&M Devolved Admin-Taxi Services Overseas,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,other travel,"skills, deregulation and local growth - vocational education directorate","personal expense, name withheld",154920,30.62,Default-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,"skills, deregulation and local growth - vocational education directorate","personal expense, name withheld",154920,9.12,Default-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,subsistence uk,"skills, deregulation and local growth - vocational education directorate","personal expense, name withheld",154920,27.56,Default-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,mileage allowance uk,economics & markets - international trade & export control,"personal expense, name withheld",154935,54.0,E&M Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-06,hire of conference facilities,business and science - advanced manufacturing,the queen elizabeth ii conference centre t/a qe11 centre,154936,1534.0,Sponsorship MSET-Hire of Conference Facilities,sw1p 3ee,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-07,application support service,"finance, commercial & digital transformation - digital directorate",cgi it uk ltd,154937,314758.07,FCDT Devolved Admin-Application Support Service,cf31 9ap,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,purchase of intangible software,"skills, deregulation and local growth - better regulation delivery office",mando group ltd,154938,1399.14,RD: Competency-Purchase of Intangible Software,l3 5tf,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-07,application support service,"finance, commercial & digital transformation - digital directorate",cgi it uk ltd,154940,317522.63,FCDT Devolved Admin-Application Support Service,cf31 9ap,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,publications,"people, strategy and higher education - ministerial and parliamentary support team",jones yarrell leadenhall,154945,695.62,PSHE Devolved Admin-Publications,eh12 9dj,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,it infrastructure support,"finance, commercial & digital transformation - digital directorate",fco services,154947,93954.0,FCDT Devolved Admin-IT Infrastructure Support,mk19 7bh,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,leadership & people management,"people, strategy and higher education - human resources",capita business services ltd,154948,595.0,PSHE Non Devolved Admin-Leadership & People Management,dl1 9hn,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,leadership & people management,"people, strategy and higher education - human resources",capita business services ltd,154949,595.0,PSHE Non Devolved Admin-Leadership & People Management,dl1 9hn,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,leasing of reprographic equipment,"people, strategy and higher education - ministerial and parliamentary support team",xerox finance ltd,154950,590.69,PSHE Devolved Admin-Leasing of Reprographic Equipment,bn13 1qx,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-07,senior civil service training,business and science - science and research,capita business services ltd,154951,595.0,B&S Devolved Admin-Senior Civil Service Training,dl1 9hn,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-06,professional training,economics & markets - analysis directorate,capita business services ltd,154952,445.0,E&M Non Devolved Admin-Professional Training,dl1 9hn,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,it infrastructure support,"finance, commercial & digital transformation - digital directorate",fco services,154961,66444.0,FCDT Devolved Admin-IT Infrastructure Support,mk19 7bh,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-22,it services,"finance, commercial & digital transformation - digital directorate",xma ltd,154963,9825.6,FCDT Devolved Admin-IT Services,ng11 7ep,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,computer consumables,"finance, commercial & digital transformation - digital directorate",xma ltd,154964,666.0,FCDT Devolved Admin-Computer Consumables,ng11 7ep,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,water,"skills, deregulation and local growth - better regulation delivery office",thames water utilities ltd,154966,2655.71,RD: Central/Core-Water,sn38 3tw,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,stationery,business and science - dg/finance & corporate planning,banner business services ltd,154967,339.6,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,training and development expenditure,"skills, deregulation and local growth - vocational education directorate",partnership media group ltd t/a govnet communications,154968,415.8,SDLG Devolved Admin-Training And Development Expenditure,m1 6pp,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-22,it services,"finance, commercial & digital transformation - digital directorate",xma ltd,154970,27000.0,FCDT Devolved Admin-IT Services,ng11 7ep,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,gas,"finance, commercial & digital transformation - estates",corona energy retail 4 ltd,154977,214.19,FCDT Devolved Admin-Gas,wd17 1jw,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,mileage allowance uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",154993,25.2,RD: Timber Regulations-Mileage Allowance UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,subsistence overseas,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",154993,53.79,RD: Timber Regulations-Subsistence Overseas,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,subsistence overseas,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",154993,78.44,RD: Timber Regulations-Subsistence Overseas,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,mileage allowance uk,"skills, deregulation and local growth - apprentiship directorate","personal expense, name withheld",154996,25.2,Routes into Apprenticeship-Mileage Allowance UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,rail travel uk,"skills, deregulation and local growth - apprentiship directorate","personal expense, name withheld",154996,179.0,Routes into Apprenticeship-Rail Travel UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,subsistence uk,"skills, deregulation and local growth - apprentiship directorate","personal expense, name withheld",154996,6.0,Routes into Apprenticeship-Subsistence UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-06,technical advice / services & support,economics & markets - analysis directorate,the insolvency service,154998,12500.0,E&M Devolved Admin-Technical Advice / Services & Support,wc1b 3ss,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,hire of agency staff,"skills, deregulation and local growth - apprentiship directorate",brook street (uk) ltd,155009,440.9,SDLG Devolved Admin-Hire of Agency Staff,al1 4zx,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-22,it services,"finance, commercial & digital transformation - digital directorate",xma ltd,155010,110044.8,FCDT Devolved Admin-IT Services,ng11 7ep,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-21,it infrastructure support,"finance, commercial & digital transformation - digital directorate",fco services,155011,295088.7,FCDT Devolved Admin-IT Infrastructure Support,mk19 7bh,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,publications,"people, strategy and higher education - ministerial and parliamentary support team",the stationery office ltd,155012,20.5,PSHE Devolved Admin-Publications,nr3 1qz,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,business rates,"finance, commercial & digital transformation - estates",companies house,155013,6271.12,FCDT Devolved Admin-Business Rates,cf14 3uz,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,rentals under non-pfi operating leases - buildings,"finance, commercial & digital transformation - estates",companies house,155013,17458.0,FCDT Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,cf14 3uz,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,service charges,"finance, commercial & digital transformation - estates",companies house,155013,13648.51,FCDT Devolved Admin-Service Charges,cf14 3uz,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,stationery,"finance, commercial & digital transformation - digital directorate",banner business services ltd,155015,3.84,FCDT Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,stationery,"finance, commercial & digital transformation - digital directorate",banner business services ltd,155015,15.12,FCDT Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,stationery,"finance, commercial & digital transformation - digital directorate",banner business services ltd,155015,20.22,FCDT Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,stationery,"finance, commercial & digital transformation - digital directorate",banner business services ltd,155015,27.42,FCDT Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,stationery,"finance, commercial & digital transformation - digital directorate",banner business services ltd,155015,28.27,FCDT Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,stationery,"finance, commercial & digital transformation - digital directorate",banner business services ltd,155015,76.2,FCDT Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,stationery,"finance, commercial & digital transformation - digital directorate",banner business services ltd,155015,114.84,FCDT Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,stationery,"finance, commercial & digital transformation - digital directorate",banner business services ltd,155015,147.48,FCDT Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,stationery,"finance, commercial & digital transformation - digital directorate",banner business services ltd,155015,245.76,FCDT Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,publications,"people, strategy and higher education - ministerial and parliamentary support team",the stationery office ltd,155016,20.5,PSHE Devolved Admin-Publications,nr3 1qz,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,publications,"people, strategy and higher education - ministerial and parliamentary support team",the stationery office ltd,155017,20.5,PSHE Devolved Admin-Publications,nr3 1qz,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-08,stationery,business and science - science and research,banner business services ltd,155018,0.29,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-08,stationery,business and science - science and research,banner business services ltd,155018,1.9,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-08,stationery,business and science - science and research,banner business services ltd,155018,3.68,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-08,stationery,business and science - science and research,banner business services ltd,155018,31.21,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-08,stationery,business and science - science and research,banner business services ltd,155018,39.16,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-08,stationery,business and science - science and research,banner business services ltd,155018,39.48,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,publications,"people, strategy and higher education - ministerial and parliamentary support team",the stationery office ltd,155019,156.0,PSHE Devolved Admin-Publications,nr3 1qz,vendor,2016,7
